PRINT CALLED
TABLE FOR CIVIL
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EFD009U2M       ,HSL046U2M       ,EFD009U2M(TUT)  ,empty           ,LUNCHBREAK      ,CEP101P1M(PRA)  ,CEP101P1M(PRA)  ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,EFD009U2M       ,HSL046U2M       ,empty           ,empty           ,OE8             ,OE3             ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,EFD009U2M       ,empty           ,empty           ,empty           ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR CSE
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EFD009U2M       ,HSL046U2M       ,EFD009U2M(TUT)  ,CSC048P1M       ,LUNCHBREAK      ,CSC047P1M       ,CSC064P1E       ,CSL033U4E       ,CSL021U4E       ,empty           ,empty           ,
TUESDAY,EFD009U2M       ,HSL046U2M       ,CSC048P1M       ,CSC047P1M       ,OE8             ,OE3             ,CSC064P1E       ,CSL033U4E       ,CSL021U4E       ,empty           ,empty           ,
WEDNESDAY,EFD009U2M       ,CSC048P1M       ,CSC047P1M       ,CSC064P1E       ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CSL033U4E       ,CSL021U4E       ,empty           ,
