Courses offered data for 2022-23 semester 02,,,,,,,,,,,,,,,
Slno,Course Code,Course Name,Course Category,Course Type,Department,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Course Instructor Id,Course Instructor Name,Semester/Batch,Students registered
28,BBL002U3E,Biophysics and Biochemistry,Open Category,THEORY,BB_CH_CE_CS_EE_MT_ME,3,3,0,0,IITJMU11101,Vinay Sharma,IITJMU11036,Ajeet Kumar Sharma,2019-20_2020-21_2021-22_2022-23,
29,BBL011P6M,Research Methods and Ethics,Open Elective,THEORY,BB_CH_CY_CE_CS_EE_HU_MT_MA_ME_PH,2,2,0,0,IITJMU40005,R. Uma Shankar,IITJMU11093,Suresh Roland Devasahayam,2019-20_2020-21_2021-22_2022-23,6
30,HSL044U2M,Globalization and Development,Institute Core,THEORY,HU,2,2,0,0,IITJMU11056,Sayantan Mandal,,,2019-20_2020-21_2021-22_2022-23,181
31,HSL045U2M,Higher Education and Society,Institute Core,THEORY,HU,2,2,0,0,IITJMU11056,Sayantan Mandal,,,2019-20_2020-21_2021-22_2022-23,143
32,HSL201U3M,Introduction to Philosophy,Institute Core,THEORY,HU,3,3,0,0,IITJMU11052,Joby Varghese,,,2019-20_2020-21_2021-22_2022-23,40
33,MTD002U2M,Characterization of Materials,Departmental Core,THEORY,MT,3,3,1,0,IITJMU11096,Suman Sarkar,,,2019-20_2020-21_2021-22_2022-23,29
34,MTP001U2M,Materials Characterization Laboratory,Departmental Practical,PRACTICAL,MT,2,0,0,4,IITJMU11075,Srishilan C,IITJMU11100_IITJMU11077,Srinivasan N_Rani Rohini,2019-20_2020-21_2021-22_2022-23,29
35,EFD009U2M,Electronic materials: Fundamentals and device concepts,Institute Core - Engineering Foundation,THEORY,MT,3,3,1,0,IITJMU11066,Biswanath Chakraborty,IITJMU11044,Kankat Ghosh,2019-20_2020-21_2021-22_2022-23,205
36,HSL031U3M,Concepts in Indian Philosophy,Institute Core,THEORY,HU,2,2,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,75
37,HSL046U2M,Usability and User Experience,Institute Core,THEORY,HU,2,2,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,138
38,HSL035U3M,Problems of Philosophy,Institute Core,THEORY,HU,2,2,0,0,IITJMU40006,Bijoy H Boruah,,,2019-20_2020-21_2021-22_2022-23,18
39,HSL057U2M,Technoscience and Transhumanism,Institute Core,THEORY,HU,2,2,0,0,IITJMU40006,Bijoy H Boruah,,,2019-20_2020-21_2021-22_2022-23,32
40,HSL050U2M,Intermediate Econometrics,Open Elective,THEORY / PRACTICAL,HU,2,1,0,1,IITJMU11086,Bhaskar Jyoti Neog,,,2019-20_2020-21_2021-22_2022-23,14
41,HSL066P6G,Intermediate Macroeconomics,Open Elective,THEORY,HU,2,2,0,0,IITJMU11086,Bhaskar Jyoti Neog,,,2019-20_2020-21_2021-22_2022-23,16
42,HSL029U3M,Introduction to Economics,Institute Core,THEORY,HU,3,3,0,0,IITJMU11086,Bhaskar Jyoti Neog,,,2019-20_2020-21_2021-22_2022-23,223
43,HSL072U3E,Introduction to Sustainable Development,Open Elective,THEORY,HU,2,2,0,0,IITJMU11062,Amitash Ojha,IITJMU20024,Ashoke Kumar Sarkar,2019-20_2020-21_2021-22_2022-23,93
44,MTD003U2M,Phase Transformations in Materials,Departmental Core,THEORY,MT,3,3,1,0,IITJMU11060,Shantanu Vijay Madge,,,2019-20_2020-21_2021-22_2022-23,29
45,CEL003U2M,Structural Analysis,Departmental Core,THEORY,CE,3,3,0,0,IITJMU11051,Rimen Jamatia,,,2019-20_2020-21_2021-22_2022-23,32
46,CEL001U2M,Transportation and Highway Engineering,Departmental Core,THEORY,CE,3,3,0,0,IITJMU11054,Ankit Kathuria,,,2019-20_2020-21_2021-22_2022-23,34
47,CEP003U2M,Structural Analysis Lab,Departmental Practical,PRACTICAL,CE,1,0,0,2,IITJMU11051,Rimen Jamatia,,,2019-20_2020-21_2021-22_2022-23,32
48,CEP005U2M,Surveying Laboratory,Departmental Practical,PRACTICAL,CE,2,0,0,4,IITJMU11080,Divyesh Varade,,,2019-20_2020-21_2021-22_2022-23,32
49,CEL008U3M,Design of Steel Structures,Departmental Core,THEORY,CE,3,3,0,0,IITJMU11049,Surendra Beniwal,,,2019-20_2020-21_2021-22_2022-23,26
50,CEL004U2M,Construction Management and Practices,Design Core,THEORY,CE,3,3,0,0,IITJMU10101,Anurag Misra,,,2019-20_2020-21_2021-22_2022-23,26
51,CEP006U3M,Civil Engineering Materials lab,Departmental Practical,PRACTICAL,CE,1,0,0,2,IITJMU11047,Sameer Kumar Sarma Pachalla,IITJMU11049,Surendra Beniwal,2019-20_2020-21_2021-22_2022-23,27
52,CES200U3X,UG Seminar,Credit Earning Course,TRAINING / SEMINAR,CE,1,0,0,2,IITJMU11080,Divyesh Varade,,,2019-20_2020-21_2021-22_2022-23,26
53,CEL040U3E,Engineering Hydrology,Departmental Elective,THEORY,CE,3,3,0,0,IITJMU11085,Chembolu Vinay,,,2019-20_2020-21_2021-22_2022-23,26
54,CEP001U2M,Transportation and Highway Engineering laboratory,Departmental Practical,PRACTICAL,CE,2,0,0,3,IITJMU11054,Ankit Kathuria,,,2019-20_2020-21_2021-22_2022-23,26
55,CEY402U4M,BTP-II,Departmental Core,PROJECT,CE,5,0,0,10,IITJMU11085,Chembolu Vinay,,,2019-20_2020-21_2021-22_2022-23,28
56,CEL010P4G,Disaster Management,Open Category,THEORY,CE,3,3,0,0,IITJMU11085,Chembolu Vinay,IITJMU11078_IITJMU11092_IITJMU11016_IITJMU11080_IITJMU11008_IITJMU11080,Riya Bhowmik_Pratik Kumar_Rajendra Kumar Varma_Divyesh Varade_Nitin Joshi_Divyesh Varade,2019-20_2020-21_2021-22_2022-23,18
57,CEL012P1M,Tunnel Excavation Methods and Philosophies,Departmental Core,THEORY,CE,3,3,0,0,IITJMU11078,Riya Bhowmik,,,2019-20_2020-21_2021-22_2022-23,12
58,CEL011P1M,Monitoring and Maintenance of Tunnels,Departmental Core,THEORY,CE,3,3,0,0,IITJMU11047,Sameer Kumar Sarma Pachalla,IITJMU10101,Anurag Misra,2019-20_2020-21_2021-22_2022-23,12
59,CEL112P4E,Fracture Mechanics,Departmental Elective,THEORY,CE,3,3,0,0,IITJMU11082,Pervaiz Fathima Khatoon M,,,2019-20_2020-21_2021-22_2022-23,14
60,CEL031P2E,Environmental Impact Assessment in Tunnel Engineering,Departmental Elective,THEORY,CE,3,3,0,0,IITJMU11092,Pratik Kumar,,,2019-20_2020-21_2021-22_2022-23,12
61,CEP101P1M,Rock Mechanics Laboratory,Departmental Practical,PRACTICAL,CE,1,0,0,2,IITJMU11104,Sivakumar G,,,2019-20_2020-21_2021-22_2022-23,12
62,CEP102P1M,Geology and Geophysical Investigations Lab,Departmental Practical,PRACTICAL,CE,1,0,0,2,IITJMU11103,Prasun Halder,,,2019-20_2020-21_2021-22_2022-23,12
63,CEZ132P2M,Dissertation-II,Dissertation,DISSERTATION,CE,14,0,0,28,IITJMU11078,Riya Bhowmik,,,2019-20_2020-21_2021-22_2022-23,14
64,CEL047U3E,Railway Engineering,Departmental Elective,THEORY,CE,3,3,0,0,IITJMU11054,Ankit Kathuria,,,2019-20_2020-21_2021-22_2022-23,27
65,SMD002U1M,Linear Algebra and Differential Equations,Institute Core,THEORY,MA,3,3,1,0,IITJMU11074,Manmohan Vashisth,IITJMU11102,Arvind Kumar,2019-20_2020-21_2021-22_2022-23,37
66,MAD006P6E,Finite Fields,Departmental Elective,THEORY,MA,3,3,1,0,IITJMU11020,Sartaj Ul Hasan,,,2019-20_2020-21_2021-22_2022-23,3
67,MAD005P6E,Commutative Algebra,Departmental Elective,THEORY,MA,3,3,1,0,IITJMU11079,Rajiv Kumar,,,2019-20_2020-21_2021-22_2022-23,3
68,PHL021P1M,Condensed Matter Physics,Departmental Core,THEORY,PH,3,3,0,0,IITJMU11006,Rahul Raghunath Salunkhe,IITJMU11003,Ashok Bera,2019-20_2020-21_2021-22_2022-23,6
69,PHC023P1M,Numerical methods and computational physics,Departmental Core,THEORY,PH,3,2,0,2,IITJMU11011,Sanat Kumar Tiwari,,,2019-20_2020-21_2021-22_2022-23,8
70,PHL011P6G,Characterization of Materials,Open Elective,THEORY,PH,3,3,0,0,IITJMU11003,Ashok Bera,,,2019-20_2020-21_2021-22_2022-23,4
71,MAD009P6G,Partial Differential Equations,Open Elective,THEORY,MA,3,3,1,0,IITJMU11019,Tanmay Sarkar,,,2019-20_2020-21_2021-22_2022-23,11
72,PHS024P1M,Seminar 1 (Research),Departmental Core,THEORY,PH,1,0,0,2,IITJMU11063,Venkata Sathish Akella,,,2019-20_2020-21_2021-22_2022-23,6
