PRINT CALLED
TABLE FOR CIVIL
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,LUNCHBREAK      ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),CEL003U2M       ,CEL001U2M       ,
TUESDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,OE8             ,OE3             ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CEL003U2M       ,CEL001U2M       ,
WEDNESDAY,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CY-1-04(TO)     ,CEL003U2M       ,CEL001U2M       ,
THURSDAY,CEP005U2M(PRA)  ,CEP005U2M(PRA)  ,CEP005U2M(PRA)  ,CEP005U2M(PRA)  ,LUNCHBREAK      ,CEP001U2M(PRA)  ,CEP001U2M(PRA)  ,CEP001U2M(PRA)  ,CEP006U3M(PRA)  ,CEP006U3M(PRA)  ,empty           ,
FRIDAY,CEP003U2M(PRA)  ,CEP003U2M(PRA)  ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR CSE
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,LUNCHBREAK      ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),CSC029U2M       ,CSD019U2M       ,
TUESDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,OE8             ,OE3             ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CSC029U2M       ,CSD019U2M       ,
WEDNESDAY,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CY-1-04(TO)     ,CSC029U2M       ,CSD019U2M       ,
THURSDAY,CSD019U2M(TUT)  ,CSC029U2M(PRA)  ,CSC029U2M(PRA)  ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR EE
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,LUNCHBREAK      ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),EEL005P1M       ,EE-1-04(TO)     ,
TUESDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,OE8             ,OE3             ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,EEL005P1M       ,EE-1-04(TO)     ,
WEDNESDAY,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CY-1-04(TO)     ,EEL005P1M       ,EE-1-04(TO)     ,
THURSDAY,EE-1-04(TO)(TUT),EEP012U2M(PRA)  ,EEP012U2M(PRA)  ,empty           ,LUNCHBREAK      ,EEP003U2M(PRA)  ,EEP003U2M(PRA)  ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR MECH
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,LUNCHBREAK      ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),empty           ,empty           ,
TUESDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,OE8             ,OE3             ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,empty           ,empty           ,
WEDNESDAY,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CY-1-04(TO)     ,empty           ,empty           ,
THURSDAY,MEP014P1M(PRA)  ,MEP014P1M(PRA)  ,MEP014P1M(PRA)  ,empty           ,LUNCHBREAK      ,MEP006U2M(PRA)  ,MEP006U2M(PRA)  ,MEP006U2M(PRA)  ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR MAT
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,LUNCHBREAK      ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),MTD003U2M       ,MTD003U2M(TUT)  ,
TUESDAY,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,OE8             ,OE3             ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,MTD003U2M       ,MTL012U3E       ,
WEDNESDAY,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,LUNCHBREAK      ,OE3(PRA)        ,OE8(PRA)        ,OE8(PRA)        ,CY-1-04(TO)     ,MTD003U2M       ,MTL012U3E       ,
